10OneQuietMoment.mp3
true
Glad - One Quiet Moment
Glad
0	1,2,3,4,5,6,7,8		 [VERSE 01]
96932	4	3,7	 [VERSE 02]
100668	1,5	2,3,4,6,7,8	 [VERSE 02]
100931	2,6	1,5	 [VERSE 02]
101571	3,7	2,6	 [VERSE 02]
102563	4	3,7	 [VERSE 02]
102963	1,5	2,3,4,6,7,8	 [VERSE 02]
103675	2,6	1,5	 [VERSE 02]
108684	3,7	2,6	 [VERSE 01]
108923	4	3,7	 [VERSE 01]
109556	1,5	2,3,4,6,7,8	 [VERSE 01]
110556	2,6	1,5	 [VERSE 01]
110836	3,7	2,6	 [VERSE 01]
112211	4	3,7	 [VERSE 01]
112523	1,5	2,3,4,6,7,8	 [VERSE 01]
112867	2,6	1,5	 [VERSE 01]
114244	3,7	2,6	 [VERSE 01]
114572	4	3,7	 [VERSE 01]
114851	1,5	2,3,4,6,7,8	 [VERSE 01]
116323	2,6	1,5	 [VERSE 01]
116571	3,7	2,6	 [VERSE 01]
116915	4	3,7	 [VERSE 01]
117548	1,5	2,3,4,6,7,8	 [VERSE 01]
118571	2,6	1,5	 [VERSE 01]
118883	3,7	2,6	 [VERSE 01]
119155	4	3,7	 [VERSE 01]
120587	1,5	2,3,4,6,7,8	 [VERSE 01]
120884	2,6	1,5	 [VERSE 01]
121180	3,7	2,6	 [VERSE 01]
122212	4	3,7	 [VERSE 01]
122539	1,5	2,3,4,6,7,8	 [VERSE 01]
124524	2,6	1,5	 [VERSE 01]
124908	3,7	2,6	 [VERSE 01]
125579	4	3,7	 [VERSE 01]
126539	1,5	2,3,4,6,7,8	 [VERSE 01]
126819	2,6	1,5	 [VERSE 01]
127107	3,7	2,6	 [VERSE 01]
128204	4	3,7	 [VERSE 01]
128532	1,5	2,3,4,6,7,8	 [VERSE 01]
128891	2,6	1,5	 [VERSE 01]
129268	3,7	2,6	 [VERSE 01]
130220	4	3,7	 [VERSE 01]
130587	1,5	2,3,4,6,7,8	 [VERSE 01]
132604	2,6	1,5	 [VERSE 01]
132931	3,7	2,6	 [VERSE 01]
133532	4	3,7	 [VERSE 01]
134547	1,5	2,3,4,6,7,8	 [VERSE 01]
134899	2,6	1,5	 [VERSE 01]
135259	3,7	2,6	 [VERSE 01]
136211	4	3,7	 [VERSE 01]
136772	1,5	2,3,4,6,7,8	 [VERSE 01]
136988	2,6	1,5	 [VERSE 01]
137587	3,7	2,6	 [VERSE 01]
138275	4	3,7	 [VERSE 01]
138988	1,5	2,3,4,6,7,8	 [VERSE 01]
140820	2,6	1,5	 [VERSE 02]
141108	3,7	2,6	 [VERSE 02]
141444	4	3,7	 [VERSE 02]
142636	1,5	2,3,4,6,7,8	 [VERSE 02]
142868	2,6	1,5	 [VERSE 02]
143196	3,7	2,6	 [VERSE 02]
144492	4	3,7	 [VERSE 02]
144796	1,5	2,3,4,6,7,8	 [VERSE 02]
145163	2,6	1,5	 [VERSE 02]
146467	3,7	2,6	 [VERSE 02]
146804	4	3,7	 [VERSE 02]
147172	1,5	2,3,4,6,7,8	 [VERSE 02]
148932	2,6	1,5	 [VERSE 02]
149187	3,7	2,6	 [VERSE 02]
150219	4	3,7	 [VERSE 02]
150500	1,5	2,3,4,6,7,8	 [VERSE 02]
151180	2,6	1,5	 [VERSE 02]
151483	3,7	2,6	 [VERSE 02]
152739	4	3,7	 [VERSE 02]
153059	1,5	2,3,4,6,7,8	 [VERSE 02]
153771	2,6	1,5	 [VERSE 02]
154747	3,7	2,6	 [VERSE 02]
155147	4	3,7	 [VERSE 02]
156651	1,5	2,3,4,6,7,8	 [VERSE 02]
156917	2,6	1,5	 [VERSE 02]
157235	3,7	2,6	 [VERSE 02]
157795	4	3,7	 [VERSE 02]
158683	1,5	2,3,4,6,7,8	 [VERSE 02]
159091	2,6	1,5	 [VERSE 02]
159444	3,7	2,6	 [VERSE 02]
160396	4	3,7	 [VERSE 02]
160804	1,5	2,3,4,6,7,8	 [VERSE 02]
161100	2,6	1,5	 [VERSE 02]
161812	3,7	2,6	 [VERSE 02]
162804	4	3,7	 [VERSE 02]
163132	1,5	2,3,4,6,7,8	 [VERSE 02]
164492	2,6	1,5	 [VERSE 02]
164787	3,7	2,6	 [VERSE 02]
165139	4	3,7	 [VERSE 02]
165780	1,5	2,3,4,6,7,8	 [VERSE 02]
166451	2,6	1,5	 [VERSE 02]
167164	3,7	2,6	 [VERSE 02]
167476	4	3,7	 [VERSE 02]
168955	1,5	2,3,4,6,7,8	 [VERSE 02]
169259	2,6	1,5	 [VERSE 02]
169979	3,7	2,6	 [VERSE 02]
170796	4	3,7	 [VERSE 02]
171819	1,5	2,3,4,6,7,8	 [VERSE 02]
175435	2,6	1,5	 [BRIDGE]
175731	3,7	2,6	 [BRIDGE]
176140	4	3,7	 [BRIDGE]
176915	1,5	2,3,4,6,7,8	 [BRIDGE]
177811	2,6	1,5	 [BRIDGE]
178116	3,7	2,6	 [BRIDGE]
178387	4	3,7	 [BRIDGE]
179843	1,5	2,3,4,6,7,8	 [BRIDGE]
180132	2,6	1,5	 [BRIDGE]
180460	3,7	2,6	 [BRIDGE]
181531	4	3,7	 [BRIDGE]
182187	1,5	2,3,4,6,7,8	 [BRIDGE]
183875	2,6	1,5	 [BRIDGE]
184140	3,7	2,6	 [BRIDGE]
184452	4	3,7	 [BRIDGE]
185451	1,5	2,3,4,6,7,8	 [BRIDGE]
186188	2,6	1,5	 [BRIDGE]
187491	3,7	2,6	 [BRIDGE]
187795	4	3,7	 [BRIDGE]
188203	1,5	2,3,4,6,7,8	 [BRIDGE]
188859	2,6	1,5	 [BRIDGE]
189532	3,7	2,6	 [BRIDGE]
190203	4	3,7	 [BRIDGE]
191877	1,5	2,3,4,6,7,8	 [BRIDGE]
192211	2,6	1,5	 [BRIDGE]
192827	3,7	2,6	 [BRIDGE]
193835	4	3,7	 [BRIDGE]
194163	1,5	2,3,4,6,7,8	 [BRIDGE]
194476	2,6	1,5	 [BRIDGE]
195484	3,7	2,6	 [BRIDGE]
195803	4	3,7	 [BRIDGE]
196219	1,5	2,3,4,6,7,8	 [BRIDGE]
196876	2,6	1,5	 [BRIDGE]
197507	3,7	2,6	 [BRIDGE]
198252	4	3,7	 [BRIDGE]
201963	1,5	2,3,4,6,7,8	 [BRIDGE]
202220	2,6	1,5	 [BRIDGE]
202876	3,7	2,6	 [BRIDGE]
203899	4	3,7	 [BRIDGE]
204219	1,5	2,3,4,6,7,8	 [BRIDGE]
204948	2,6	1,5	 [BRIDGE]
210140	3,7	2,6	 [BRIDGE]
210356	4	3,7	 [BRIDGE]
210907	1,5	2,3,4,6,7,8	 [BRIDGE]
211835	2,6	1,5	 [BRIDGE]
212187	3,7	2,6	 [BRIDGE]
212940	4	3,7	 [BRIDGE]
217868	1,5	2,3,4,6,7,8	 [VERSE 02]
218196	2,6	1,5	 [VERSE 02]
218844	3,7	2,6	 [VERSE 02]
219459	4	3,7	 [VERSE 02]
220076	1,5	2,3,4,6,7,8	 [VERSE 02]
220827	2,6	1,5	 [VERSE 02]
222036	3,7	2,6	 [VERSE 02]
223299	4	3,7	 [VERSE 02]
225195	1,5	2,3,4,6,7,8	 [VERSE 02]
225739	2,6	1,5	 [VERSE 02]
226275	3,7	2,6	 [VERSE 02]
226843	4	3,7	 [VERSE 02]
227403	1,5	2,3,4,6,7,8	 [VERSE 02]
228020	2,6	1,5	 [VERSE 02]
228651	3,7	2,6	 [VERSE 02]
229251	4	3,7	 [VERSE 02]
229892	1,5	2,3,4,6,7,8	 [VERSE 02]
230588	2,6	1,5	 [VERSE 02]
231292	3,7	2,6	 [VERSE 02]
231900	4	3,7	 [VERSE 02]
232651	1,5	2,3,4,6,7,8	 [VERSE 01]
233028	2,6	1,5	 [VERSE 01]
233515	3,7	2,6	 [VERSE 01]
234467	4	3,7	 [VERSE 01]
234795	1,5	2,3,4,6,7,8	 [VERSE 01]
235131	2,6	1,5	 [VERSE 01]
236011	3,7	2,6	 [VERSE 01]
236340	4	3,7	 [VERSE 01]
236676	1,5	2,3,4,6,7,8	 [VERSE 01]
237011	2,6	1,5	 [VERSE 01]
238044	3,7	2,6	 [VERSE 01]
238371	4	3,7	 [VERSE 01]
240468	1,5	2,3,4,6,7,8	 [VERSE 01]
241156	2,6	1,5	 [VERSE 01]
242164	3,7	2,6	 [VERSE 01]
242443	4	3,7	 [VERSE 01]
242723	1,5	2,3,4,6,7,8	 [VERSE 01]
244283	2,6	1,5	 [VERSE 01]
244348	3,7	2,6	 [VERSE 01]
244699	4	3,7	 [VERSE 01]
245723	1,5	2,3,4,6,7,8	 [VERSE 01]
245980	2,6	1,5	 [VERSE 01]
246340	3,7	2,6	 [VERSE 01]
248276	4	3,7	 [VERSE 01]
248899	1,5	2,3,4,6,7,8	 [VERSE 01]
249516	2,6	1,5	 [VERSE 01]
250212	3,7	2,6	 [VERSE 01]
251668	4	3,7	 [VERSE 01]
251891	1,5	2,3,4,6,7,8	 [VERSE 01]
252219	2,6	1,5	 [VERSE 01]
253100	3,7	2,6	 [VERSE 01]
254060	4	3,7	 [VERSE 01]
255131	1,5	2,3,4,6,7,8	 [VERSE 01]
