Wizards.mp3
true
Trans Siberian Orchestra - Wizards of Winter
Classic
34446	3,4	1,2	
34556	5,6	3,4	
34705	7	5,6	 [BRIDGE]
34815	5,6	7	
34925	3,4	5,6	
35148	1,2	3,4	 [BRIDGE]
35258	3,4	1,2	
35368	5,6	3,4	
35535	7	5,6	 [BRIDGE]
35645	5,6	7	
35755	3,4	5,6	
35894	1,2	3,4	 [BRIDGE]
36167	7,6	1,2,3,4,5,6,8	 [VERSE 02]
36358	5	7	 [VERSE 02]
36585	4	6	 [VERSE 02]
36797	3	5	 [VERSE 02]
36989	2	4	 [VERSE 02]
37185	1	3	 [VERSE 02]
37373		2	 [VERSE 02]
37654	1,2	3,4	 [BRIDGE]
37764	3,4	1,2	
37874	5,6	3,4	
38016	7	5,6	 [BRIDGE]
38126	5,6	7	
38236	3,4	5,6	
38367	1,2	3,4	 [BRIDGE]
38477	3,4	1,2	
38587	5,6	3,4	
38747	7	5,6	 [BRIDGE]
38857	5,6	7	
38967	3,4	5,6	
39157	1,2	3,4	 [BRIDGE]
39267	3,4	1,2	
39377	5,6	3,4	
39538	7	5,6	 [BRIDGE]
39648	5,6	7	
39758	3,4	5,6	
39937	1,2	3,4	 [BRIDGE]
40047	3,4	1,2	
40157	5,6	3,4	
40376	7	5,6	 [BRIDGE]
40486	5,6	7	
40596	3,4	5,6	
40798	1,2	3,4	 [BRIDGE]
40908	3,4	1,2	
41018	5,6	3,4	
41158	7	5,6	 [BRIDGE]
41268	5,6	7	
41378	3,4	5,6	
41573	1,2	3,4	 [BRIDGE]
41683	3,4	1,2	
41793	5,6	3,4	
41974	7	5,6	 [BRIDGE]
42084	5,6	7	
42194	3,4	5,6	
42298	1,2	3,4	 [BRIDGE]
42498	8		Mini Riff
42588		8	Mini Riff
43002	7	1,2,3,4,5,6,8	 [VERSE 02]
43133	1,5	2,3,4,6,7,8	 [VERSE 01]
43322	2,6	1,5	 [VERSE 01]
43492	3,7	2,6	 [VERSE 01]
43684	4	3,7	 [VERSE 01]
43842	1,5	2,3,4,6,7,8	 [VERSE 01]
44004	2,6,8	1,5	 [VERSE 01]
44094		8	Mini Riff
44750	3,7	2,6	 [VERSE 01]
44917	4	3,7	 [VERSE 01]
45071	1,5	2,3,4,6,7,8	 [VERSE 01]
45242	2,6	1,5	 [VERSE 01]
45559	3,7	2,6	 [VERSE 01]
45637	4,8	3,7	 [VERSE 01] Mini Riff
45727		8	Mini Riff
46290	1,5,8	2,3,4,6,7,8	 [VERSE 01] Mini Riff
46380		8	Mini Riff
46477	2,6,8	1,5	Mini Riff
46567		8	Mini Riff
46653	3,7	2,6	 [VERSE 01]
47114	4,8	3,7	 [VERSE 01] Mini Riff
47204		8	Mini Riff
47325	1,5,8	2,3,4,6,7	 [VERSE 01] Mini Riff
47415		8	Mini Riff
47783	1	2,3,4,5,6,7,8	Light Step
48193	2	1	Light Step
48580	3	2	Light Step
48963	4	3	Light Step
49358	5	4	Light Step
49798	6	5	Light Step
50181	7	1,2,3,4,5,6	Light Step
50564	8	7	 Guitar Riff
50654		8	
50750	8		 Guitar Riff
50840		8	
50941	8		 Guitar Riff
51031		8	
51132	8		 Guitar Riff
51222		8	
51359	8		 Guitar Riff
51449		8	
51541	8		 Guitar Riff
51631		8	
51799	8		 Guitar Riff
51889		8	
51967	8		 Guitar Riff
52057		8	
52191	8		 Guitar Riff
52281		8	
52372	8		 Guitar Riff
52462		8	
52563	8		 Guitar Riff
52653		8	
52820	8		 Guitar Riff
52910		8	
53001	8		 Guitar Riff
53091		8	
53190	8		 Guitar Riff
53280		8	
53390	8		 Guitar Riff
53480		8	
53599	8		 Guitar Riff
53689		8	
53830	8		 Guitar Riff
53920		8	
54011	8		 Guitar Riff
54101		8	
54194	8		 Guitar Riff
54284		8	
54399	8		 Guitar Riff
54489		8	
54599	8		 Guitar Riff
54689		8	
54793	8		 Guitar Riff
54883		8	
55067	8		 Guitar Riff
55157		8	
55242	8		 Guitar Riff
55332		8	
55443	8		 Guitar Riff
55533		8	
55631	8		 Guitar Riff
55721		8	
55830	8		 Guitar Riff
55920		8	
56039	8		 Guitar Riff
56129		8	
56229	8		 Guitar Riff
56319		8	
56481	8		 Guitar Riff
56571		8	
56679	8		 Guitar Riff
56769		8	
56861	8		 Guitar Riff
56951		8	
57061	8		 Guitar Riff
57151		8	
57246	8		 Guitar Riff
57336		8	
57389	1,3,5,7	2,4,6,	 [VERSE 01]
57451	8		 Guitar Riff
57541		8	
57607	2,4,6,	1,3,5,7	 [VERSE 01]
57653	8		 Guitar Riff
57743		8	
57839	8		 Guitar Riff
57846	1,3,5,7	2,4,6,	 [VERSE 01]
57936		8	
58039	8		 Guitar Riff
58129		8	
58218	2,4,6,	1,3,5,7	s
58243	8		 Guitar Riff
58333		8	
58478	8		 Guitar Riff
58568		8	
58686	8		 Guitar Riff
58776		8	
58894	8		 Guitar Riff
58984		8	
58997	1,5	2,3,4,6,7,	 [VERSE 01]
59079	8		 Guitar Riff
59169		8	
59230	2,6	1,5	 [VERSE 01]
59269	8		 Guitar Riff
59359		8	
59437	3,7	2,6	 [VERSE 01]
59454	8		 Guitar Riff
59544		8	
59681	8		 Guitar Riff
59771		8	
59834	4	3,7	s
59882	8		 Guitar Riff
59972		8	
60116	8		 Guitar Riff
60206		8	
60301	8		 Guitar Riff
60391		8	
60527	8		 Guitar Riff
60617		8	
60629	1	4	 [VERSE 01]
60708	8		 Guitar Riff
60798		8	
60828	2	1	 [VERSE 01]
60893	8		 Guitar Riff
60983		8	
61080	3	2	 [VERSE 01]
61091	8		 Guitar Riff
61181		8	
61319	8		 Guitar Riff
61409		8	
61458	4	3	 [VERSE 01]
61519	8		 Guitar Riff
61609		8	
61719	8		 Guitar Riff
61809		8	
61877	5	4	 [VERSE 01]
61907	8		 Guitar Riff
61997		8	
62113	8		 Guitar Riff
62203		8	
62302	6	5	 [VERSE 01]
62317	8		 Guitar Riff
62407		8	
62501	8		 Guitar Riff
62591		8	
62688	7	6	 [VERSE 01]
62709	8		 Guitar Riff
62799		8	
62901	8		 Guitar Riff
62991		8	
63076	8		 Guitar Riff
63107		7	s
63197		8	
63302	8		 Guitar Riff
63392		8	
63522	8		 Guitar Riff
63612		8	
63691	8		 Guitar Riff
63781		8	
63869	1,3,5,7	2,4,6,	 [VERSE 01]
63963	8		 Guitar Riff
64053		8	
64062	2,4,6,	1,3,5,7	 [VERSE 01]
64150	8		 Guitar Riff
64240		8	
64318	1,3,5,7	2,4,6,	 [VERSE 01]
64331	8		 Guitar Riff
64421		8	
64519	8		 Guitar Riff
64609		8	
64657	2,4,6,	1,3,5,7	s
64709	8		 Guitar Riff
64799		8	
64982	8		 Guitar Riff
65072		8	
65166	8		 Guitar Riff
65256		8	
65399	8		 Guitar Riff
65469	1,5	2,3,4,6,7,	 [VERSE 01]
65559		8	
65572	8		 Guitar Riff
65662		8	
65691	2,6	1,5	 [VERSE 01]
65758	8		 Guitar Riff
65848		8	
65933	8		 Guitar Riff
65949	3,7	2,6	 [VERSE 01]
66039		8	
66121	8		 Guitar Riff
66211		8	
66334	4	3,7	s
66359	8		 Guitar Riff
66449		8	
66572	8		 Guitar Riff
66662		8	
66773	8		 Guitar Riff
66863		8	
66972	8		 Guitar Riff
67062		8	
67090	1	4	 [VERSE 01]
67166	8		 Guitar Riff
67256		8	
67297	2	1	 [VERSE 01]
67362	8		 Guitar Riff
67452		8	
67555	8		 Guitar Riff
67598	3	2	 [VERSE 01]
67688		8	
67741	8		 Guitar Riff
67831		8	
67926	4	3	 [VERSE 01]
67949	8		 Guitar Riff
68039		8	
68170	8		 Guitar Riff
68260		8	
68359	5	4	 [VERSE 01]
68389	8		 Guitar Riff
68479		8	
68599	8		 Guitar Riff
68689		8	
68729	6	5	 [VERSE 01]
68790	8		 Guitar Riff
68880		8	
69004	8		 Guitar Riff
69094		8	
69148	7	6	 [VERSE 01]
69199	8		 Guitar Riff
69289		8	
69393	8		 Guitar Riff
69483		8	
69580		7	 [VERSE 01]
69599	8		 Guitar Riff
69689		8	
69814	8		 Guitar Riff
69904		8	
69979	1,2,3,4,5,6,7,8		 [VERSE 01] Mini Riff
70069		8	Mini Riff
70171	1,7	2,3,4,5,6,8	 [VERSE 01]
70660	2,6		 [VERSE 01]
70835	3,5	1,7	 [VERSE 01]
70987	4	2,6	 [VERSE 01]
71171	1,7	2,3,4,5,6,8	 [VERSE 01]
71379	2,6		 [VERSE 01]
71499	3,5	1,7	 [VERSE 01]
71571	8		Mini Riff
71661		8	Mini Riff
71754	4	2,6	 [VERSE 01]
